duration,dose,comp,mean_fm,sd_fm,p5,p95,low_response_prop,psa_l,psa_median,psa_u
12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,75,0.0,0.3279560330526043,0.1079463976389414,0.1661126041348054,0.517750580578136,0.9344,0.2650711297105805,0.3280481503050466,0.3940714739716877
12,75,0.25,0.2473830253789538,0.1030459130321583,0.0962151528559278,0.4313238524903316,0.9819,0.1993301636314358,0.2465331787758142,0.2984554308021538
12,75,0.5,0.1647391770376471,0.0824985347032843,0.053650121220051,0.3202452948916204,0.9988,0.1331609549880277,0.1642835631871714,0.1980066454923174
12,75,0.75,0.0818007152218859,0.0665164893759022,0.0080458026021397,0.2156553629392873,1.0,0.0663300994835234,0.0822193836860929,0.1007142305887175
12,150,0.0,0.6580893559845162,0.216811025374586,0.3342785562965523,1.0365406527144707,0.243,0.52969822635413,0.6561843578067644,0.7963439931796767
12,150,0.25,0.4915531384654364,0.2045831725777453,0.191549441061886,0.8567409409676379,0.5494,0.397011447112837,0.4915136738999989,0.5933835635566123
12,150,0.5,0.328949638018888,0.1633392698062383,0.1068508503389319,0.6304605133882302,0.8532,0.2631353251435038,0.3276106266529949,0.3956316709333818
12,150,0.75,0.1651321415843885,0.1341955233133746,0.015937785753457,0.4297309116648296,0.9736,0.1333522453399262,0.1642462137527047,0.2003738543827162
12,225,0.0,0.9644064220277574,0.3197988155771335,0.4905004091189351,1.5344734461171352,0.0553,0.7688044235651688,0.9607280272559712,1.162418889470877
12,225,0.25,0.7215569541014475,0.299847358900177,0.2802416637790632,1.269013568233649,0.2434,0.5766078180218198,0.718446063363839,0.8745072849953859
12,225,0.5,0.4811966961781576,0.2400096533406451,0.1533472998171239,0.9311851944700558,0.589,0.3845015467303699,0.4786565999557574,0.584272931716882
12,225,0.75,0.2394705689406976,0.1948383609537336,0.0237880329978996,0.6251878561022545,0.899,0.1951161127842908,0.2399606841292401,0.294576919865716
12,300,0.0,1.247019473912945,0.4163332734859599,0.6261495487060965,1.9896504612423624,0.0189,0.994996318428531,1.2451433095572155,1.5188562927257134
12,300,0.25,0.9393620913063668,0.390967480699828,0.3692721062832035,1.6422720436698748,0.119,0.7454307885190068,0.9324468906030646,1.1435033442839388
12,300,0.5,0.6292919686204601,0.3189998921498896,0.1962513049743338,1.2215843668917794,0.3925,0.4960243201947618,0.6228205662495843,0.7598668797499054
12,300,0.75,0.3128695954474899,0.2576799722870587,0.0311407962752389,0.8193524031399462,0.8043,0.2509410640473478,0.3127050746368461,0.3823787233635516
12,375,0.0,1.5228848666983938,0.5166048801155378,0.7674952284644386,2.43656145041573,0.0082,1.1991407089646633,1.5135612139048913,1.86274668206682
12,375,0.25,1.1426709631414902,0.4791767228654636,0.4487621666611224,2.01576003132834,0.0696,0.8993535988951032,1.1378135787855468,1.39834446314923
12,375,0.5,0.761557136111972,0.3867427368517847,0.2474013573993777,1.48054344021404,0.274,0.5945956131789532,0.758675588768774,0.9381407806730748
12,375,0.75,0.3875892689685068,0.3151161034581345,0.0392188696859041,1.0125600272251571,0.7102,0.301520198789544,0.3793761547262527,0.4701424310717186
12,450,0.0,1.7882557332436313,0.6120586384261387,0.8894420707452814,2.878939332623692,0.0034,1.39022281310447,1.774810573389526,2.2029559378784644
12,450,0.25,1.3315135688906798,0.5680637914324781,0.5128042639204573,2.358470716523344,0.0467,1.0451112267468428,1.330026138253585,1.648664147421801
12,450,0.5,0.8922476978483628,0.4528967796304323,0.2821265590245647,1.737706010530116,0.201,0.6995022234714495,0.8850288142719926,1.1007954910044622
12,450,0.75,0.4489635152775567,0.3692098161462884,0.0436063741332782,1.1810478178030757,0.6489,0.3484344673792772,0.4437831551717662,0.5503979321697517
