comp,transition,endpoint_dose,marginal_fm_per_75min
0.0,0->75,75,0.3279560330526043
0.0,75->150,150,0.33013332293191194
0.0,150->225,225,0.30631706604324116
0.0,225->300,300,0.2826130518851876
0.0,300->375,375,0.27586539278544886
0.0,375->450,450,0.26537086654523745
0.25,0->75,75,0.2473830253789538
0.25,75->150,150,0.24417011308648262
0.25,150->225,225,0.23000381563601108
0.25,225->300,300,0.21780513720491934
0.25,300->375,375,0.20330887183512336
0.25,375->450,450,0.18884260574918965
0.5,0->75,75,0.1647391770376471
0.5,75->150,150,0.1642104609812409
0.5,150->225,225,0.1522470581592696
0.5,225->300,300,0.14809527244230253
0.5,300->375,375,0.13226516749151185
0.5,375->450,450,0.13069056173639082
0.75,0->75,75,0.0818007152218859
0.75,75->150,150,0.0833314263625026
0.75,150->225,225,0.0743384273563091
0.75,225->300,300,0.07339902650679228
0.75,300->375,375,0.07471967352101694
0.75,375->450,450,0.06137424630904986
