split_scenario,intake_share,neat_share,at_share,duration_weeks,dose_min_week,compensation_mean,mean_delta_fm,difference_vs_base,percent_difference_vs_base
base,0.5,0.3,0.2,12,75,0.5,0.164239,0.0,0.0
base,0.5,0.3,0.2,12,150,0.5,0.328478,0.0,0.0
base,0.5,0.3,0.2,12,225,0.5,0.478439,0.0,0.0
base,0.5,0.3,0.2,12,300,0.5,0.622828,0.0,0.0
base,0.5,0.3,0.2,12,375,0.5,0.75979,0.0,0.0
base,0.5,0.3,0.2,12,450,0.5,0.894919,0.0,0.0
base,0.5,0.3,0.2,12,300,0.25,0.936719,0.0,0.0
base,0.5,0.3,0.2,12,300,0.75,0.31418,0.0,0.0
base,0.5,0.3,0.2,24,300,0.5,1.245656,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,75,0.5,0.164239,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,150,0.5,0.328478,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,225,0.5,0.478439,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,300,0.5,0.622828,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,375,0.5,0.75979,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,450,0.5,0.894919,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,300,0.25,0.936719,0.0,0.0
intake_dominant,0.7,0.2,0.1,12,300,0.75,0.31418,0.0,0.0
intake_dominant,0.7,0.2,0.1,24,300,0.5,1.245656,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,75,0.5,0.164239,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,150,0.5,0.328478,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,225,0.5,0.478439,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,300,0.5,0.622828,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,375,0.5,0.75979,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,450,0.5,0.894919,-0.0,-0.0
neat_dominant,0.4,0.45,0.15,12,300,0.25,0.936719,0.0,0.0
neat_dominant,0.4,0.45,0.15,12,300,0.75,0.31418,-0.0,-0.0
neat_dominant,0.4,0.45,0.15,24,300,0.5,1.245656,0.0,0.0
at_dominant,0.4,0.2,0.4,12,75,0.5,0.164239,0.0,0.0
at_dominant,0.4,0.2,0.4,12,150,0.5,0.328478,0.0,0.0
at_dominant,0.4,0.2,0.4,12,225,0.5,0.478439,0.0,0.0
at_dominant,0.4,0.2,0.4,12,300,0.5,0.622828,0.0,0.0
at_dominant,0.4,0.2,0.4,12,375,0.5,0.75979,0.0,0.0
at_dominant,0.4,0.2,0.4,12,450,0.5,0.894919,-0.0,-0.0
at_dominant,0.4,0.2,0.4,12,300,0.25,0.936719,0.0,0.0
at_dominant,0.4,0.2,0.4,12,300,0.75,0.31418,-0.0,-0.0
at_dominant,0.4,0.2,0.4,24,300,0.5,1.245656,0.0,0.0
balanced,0.34,0.33,0.33,12,75,0.5,0.164239,0.0,0.0
balanced,0.34,0.33,0.33,12,150,0.5,0.328478,0.0,0.0
balanced,0.34,0.33,0.33,12,225,0.5,0.478439,0.0,0.0
balanced,0.34,0.33,0.33,12,300,0.5,0.622828,0.0,0.0
balanced,0.34,0.33,0.33,12,375,0.5,0.75979,0.0,0.0
balanced,0.34,0.33,0.33,12,450,0.5,0.894919,-0.0,-0.0
balanced,0.34,0.33,0.33,12,300,0.25,0.936719,0.0,0.0
balanced,0.34,0.33,0.33,12,300,0.75,0.31418,-0.0,-0.0
balanced,0.34,0.33,0.33,24,300,0.5,1.245656,0.0,0.0
